,channel_email,channel_mobile,channel_social,channel_web,difficulty,duration,least_pay,offer_completed,offer_id,offer_received,offer_type,offer_view,person,reward,time_completed,time_start,time_view,total,time_validity,amount
434,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,3a81d2ae9b694b308874cff5e4505290,2,84.0,0,,5.0,168.0,7.19
450,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,773bec02e0ce497ca404dff3e236c9f7,2,18.0,0,,5.0,168.0,11.74
492,1,1,1,1,10,240,8,1,fafdcd668e3743c1bb461111dcafc2a4,1,discount,0.0,648bf85977494f6592d776c42896c3bf,2,12.0,0,,5.0,240.0,23.43
499,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,80df0308856f4207be404ae750b73399,5,216.0,0,,5.0,240.0,3.29
500,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,05beec1cbeb8481d9bfb5844343ba374,2,48.0,0,,5.0,168.0,25.62
516,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,825af41b833a4bcfb41a5a11005dbb48,2,114.0,0,,5.0,168.0,10.8
529,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,0ad738158c52421eb5db2d42a1ad166c,2,42.0,0,,5.0,168.0,17.97
538,1,1,1,0,10,168,10,1,ae264e3637204a6fb9bb56bc8210ddfd,1,bogo,0.0,379c3d188896452bb3ce05c91801e191,10,132.0,0,,5.0,168.0,30.66
577,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,41f80ce7d1034e3d8ca1d2768f7b3e09,5,36.0,0,,5.0,168.0,29.39
588,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,d83092f394ae45e59b8934f2726b681a,2,468.0,0,,5.0,168.0,16.89
589,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,b860d355ef6e4c66b5d5a837c56ef32d,5,0.0,0,,5.0,168.0,38.38
592,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,99c3a74676344e3b8689d34aa78e9113,5,144.0,0,,5.0,168.0,18.65
596,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,7ac5250da1b746e6b56a9e6d8a7b3fd4,5,198.0,0,,5.0,240.0,9.05
636,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,48931b15ed76473f84216f5d2f3980b1,2,12.0,0,,5.0,168.0,21.32
644,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,ae27549c1fcc4407a7d5d270928ff0ab,2,48.0,0,,5.0,168.0,10.52
676,1,1,1,1,10,240,8,1,fafdcd668e3743c1bb461111dcafc2a4,1,discount,0.0,25aa446cf4ff48b18c9de45c182840d4,2,48.0,0,,5.0,240.0,12.93
739,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,89753fc1ad8640108a21cba0606e0050,5,96.0,0,,5.0,168.0,18.23
763,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,ccca0c2ebba147a6a37e37bee03b5d63,5,78.0,0,,5.0,240.0,25.83
786,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,bd7b13b7520b4bd1aed39c026ebb9116,5,198.0,0,,5.0,240.0,35.97
790,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,889aaae24e8a4df7a128f20029aa8422,5,210.0,0,,5.0,240.0,11.22
822,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,35ad794c4a8b44418ee9376529b7052f,2,336.0,0,,5.0,168.0,26.39
827,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,ca715b3f17e24692b18f3cd90b9bf232,5,96.0,0,,5.0,240.0,22.11
836,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,533435d3beb342c69c8d6a00947b7a4a,5,6.0,0,,5.0,168.0,5.34
866,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,5589f5c4d6164cb4bd1feaca5384315e,2,6.0,0,,5.0,168.0,34.51
906,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,7612d9106ce94b26970c2ae2adf13773,5,168.0,0,,5.0,168.0,17.4
907,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,c18f1cdfae78482aa7d67712d423c83e,2,144.0,0,,5.0,168.0,10.95
939,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,923221df63774ab78306eaae67a86082,5,450.0,0,,5.0,168.0,5.9
959,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,40c068d24b4c48e995bbbc6351429157,2,456.0,0,,5.0,168.0,5.31
974,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,8f99435bebc2455bb4d3a2c931399f37,5,12.0,0,,5.0,168.0,35.5
994,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,647fc3ba0eca4cc089cb1189072e08fb,2,96.0,0,,5.0,168.0,26.3
1001,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,f7465d18ba7f4e43b99ccabf141d421d,2,504.0,0,,5.0,168.0,0.68
1005,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,0607b32041f94d65a07835fc9a13416a,5,102.0,0,,5.0,240.0,14.17
1009,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,4b0a951e183f4f1192f6549e28be0f36,2,84.0,0,,5.0,168.0,22.29
1096,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,2b305dbf84dd441ab8ea26242bcced60,5,552.0,0,,5.0,240.0,32.21
1098,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,3dde94fa581145cb9f206624f1a94d5a,2,168.0,0,,5.0,168.0,18.37
1101,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,ea0704e155a54733a6882377ef0eaea1,5,66.0,0,,5.0,240.0,21.67
1115,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,8fc40f08bcc7442796802b19ffcc9e04,5,180.0,0,,5.0,240.0,21.66
1142,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,1793d1eadd7f40998f69eff43c7cd3c3,5,24.0,0,,5.0,168.0,9.71
1160,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,2a38139dd22a4239b09faac733155063,5,132.0,0,,5.0,240.0,20.52
1191,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,9e3f177afd7a4d939d486f79e4bfeeb6,5,168.0,0,,5.0,240.0,24.79
1199,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,bef8a2c10dc94924be031f3dda92c4cc,5,168.0,0,,5.0,240.0,34.02
1227,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,76bd939360294478b7082aed25ff5ae4,5,228.0,0,,5.0,240.0,21.01
1234,1,1,1,1,10,240,8,1,fafdcd668e3743c1bb461111dcafc2a4,1,discount,0.0,e305c1d0dd384e2d824b4b4330da9166,2,12.0,0,,5.0,240.0,11.24
1249,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,8f6cd6d39d694147bda234a38368d99d,5,60.0,0,,5.0,240.0,23.16
1251,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,67819e7df4754ccc8e3386db19411ed1,2,102.0,0,,5.0,168.0,15.17
1310,1,1,1,1,5,120,5,1,f19421c1d4aa40978ebb69ca19b0e20d,1,bogo,0.0,2c9a9137efff4820a47d56dbf0fa555f,5,0.0,0,,5.0,120.0,18.98
1339,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,2f4bde67035f445d9c805e09bef359fe,5,150.0,0,,5.0,168.0,24.57
1351,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,923387ca2d04480fba075dec7fb7c535,2,24.0,0,,5.0,168.0,22.13
1375,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,409c069b95af4a6f91c708eaa7e90714,5,78.0,0,,5.0,240.0,34.07
1408,1,1,1,0,10,168,10,1,ae264e3637204a6fb9bb56bc8210ddfd,1,bogo,0.0,f3acf14291c040a5b6d93bdd426898c6,10,12.0,0,,5.0,168.0,20.84
1428,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,288bd96665ae45c287dec85634f318dd,5,120.0,0,,5.0,240.0,42.42
1455,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,1d94e4a29ad845a897b0dd593d86b51c,5,114.0,0,,5.0,240.0,20.9
1462,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,6006641a7b15444fae1ae0a7e27a88dd,5,168.0,0,,5.0,240.0,27.0
1480,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,a733eb13c7b8458697dd1f113e66d795,2,414.0,0,,5.0,168.0,5.4
1571,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,4169cc2f33c24b429bef7b33124b0d16,5,132.0,0,,5.0,240.0,21.47
1578,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,626d9e6450504fe1a39461cb63c61202,5,564.0,0,,5.0,240.0,6.42
1586,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,78f65b688ec8419886f12ba1cc3224d8,2,42.0,0,,5.0,168.0,23.85
1618,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,0454292436bd4cee98e8ec873e30433e,5,0.0,0,,5.0,168.0,24.38
1633,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,b1c71cebf2884ed28d02549a18f5deb1,5,42.0,0,,5.0,168.0,5.34
1656,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,f37d9566b54547d8bdc64cc949ddab90,5,150.0,0,,5.0,168.0,27.58
1674,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,2531d3b6001a4d48bff0a91ceceb97a0,5,204.0,0,,5.0,240.0,13.14
1683,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,9bfcb9551d364ef89f928f6ef195318d,2,144.0,0,,5.0,168.0,12.21
1684,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,72f7f399be0e4ea9898fd761b1d0780c,5,30.0,0,,5.0,168.0,14.3
1686,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,59e2cdcdc01841a9a2311df5e3cc4937,2,6.0,0,,5.0,168.0,25.91
1718,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,d4ef1976737e4933959159aa03d19d35,5,156.0,0,,5.0,240.0,19.33
1728,1,1,1,0,10,168,10,1,ae264e3637204a6fb9bb56bc8210ddfd,1,bogo,0.0,d7f751dd8f824d94953dcdc0f79c7345,10,54.0,0,,5.0,168.0,31.42
1798,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,a7b4125e7dee473cae2c1aa45a7978be,5,0.0,0,,5.0,168.0,27.69
1807,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,c8a71dc7d32c402e85e2eb3cbe0ad68a,5,408.0,0,,5.0,240.0,38.06
1858,1,1,1,0,10,168,10,1,ae264e3637204a6fb9bb56bc8210ddfd,1,bogo,0.0,526338768a7c454788df15d68766a35f,10,114.0,0,,5.0,168.0,24.05
1866,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,b18a188c09fc4257b91b498b0d1ef004,5,84.0,0,,5.0,240.0,26.84
1960,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,77320a68605841169979f8b497ba0ca1,5,78.0,0,,5.0,240.0,26.28
1982,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,a9e2b8c539da4f288f7a03f59ed2f5b3,5,126.0,0,,5.0,168.0,10.56
2019,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,66c9c5773a8444a79abce6644401de88,2,90.0,0,,5.0,168.0,10.03
2021,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,07f4ec4a70cd456583e224bb6d2d1787,5,216.0,0,,5.0,240.0,20.75
2073,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,e37c22feaa954a83b0d8ecc2be1f639a,5,228.0,0,,5.0,240.0,17.32
2150,1,1,1,1,7,168,4,1,2298d6c36e964ae4a3e7e9706d1fb8c2,1,discount,0.0,3ec4bc73b77a46db89e5b738c8fd668c,3,12.0,0,,5.0,168.0,31.59
2159,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,d5cc312f1ef64b43aa37d07bfcec99d4,5,6.0,0,,5.0,168.0,7.67
2163,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,ac016c534e3b454ea1e73aab20824864,5,48.0,0,,5.0,168.0,12.24
2164,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,8c1a6686814e46e28bd23d8608e12b52,5,378.0,0,,5.0,240.0,18.04
2219,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,6200620f3420479c9a00f5481fa4f0a3,2,0.0,0,,5.0,168.0,19.38
2227,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,8654992551964472a654f68702ee5156,5,168.0,0,,5.0,168.0,16.17
2259,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,8105eb8d626e4ff48a26083d48256158,5,54.0,0,,5.0,168.0,18.83
2291,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,411df4b79900411c959c0cb5fa1a7564,5,102.0,0,,5.0,240.0,21.04
2309,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,9994b51cc1ba43ef969f4a798434ba97,2,156.0,0,,5.0,168.0,16.67
2312,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,016871ea865d4338975026ae08d221d0,2,108.0,0,,5.0,168.0,14.53
2342,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,5e001d57a6a84c35bd508a700fe8aca0,5,162.0,0,,5.0,168.0,14.41
2347,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,16fb582d943d42c4a8a9865aaacf51d6,5,18.0,0,,5.0,168.0,10.87
2351,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,c7dcda945f694aebb2998919767acf31,2,438.0,0,,5.0,168.0,23.13
2359,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,a18461ce01d340eb8704bf7fb692c6ba,2,126.0,0,,5.0,168.0,11.67
2387,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,71c5266938b8447f88fe1d93d561d523,5,588.0,0,,5.0,240.0,32.27
2399,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,c8f6b6d4decd48c1a81b6c8fcf567958,5,108.0,0,,5.0,240.0,7.92
2445,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,b6fc6275ba344389964515ce3a8fe7fe,5,228.0,0,,5.0,240.0,3.24
2453,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,f8d253b227e74e9b82ef382d31b3b7d2,5,276.0,0,,5.0,168.0,8.23
2471,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,04fa747cd2d841bcaf08f0a64e82bbef,2,492.0,0,,5.0,168.0,3.55
2482,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,8c7992591b48435f828fad20fa83f5fa,5,144.0,0,,5.0,168.0,24.03
2483,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,135ceb57c67d4f768bf20cb33b887e24,2,102.0,0,,5.0,168.0,8.65
2492,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,ce00548e34ef41ec93e4fbbe6a05d05c,5,0.0,0,,5.0,168.0,12.09
2514,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,635457c253cf48a1884618e4d7658c9a,5,90.0,0,,5.0,240.0,26.95
2518,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,0a43626c07724771836f653098a19ec8,5,120.0,0,,5.0,240.0,27.33
2528,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,150164d1030149b58fe5f3278141ad18,2,96.0,0,,5.0,168.0,18.46
2548,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,4625e6efd16e4dc5948837def0090cdb,2,66.0,0,,5.0,168.0,14.21
2576,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,62b40d5ce00d410eac78e25c8e5a4eaf,5,24.0,0,,5.0,168.0,6.8100000000000005
2577,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,ff23416f1f724ece8b81bae7acb279ed,2,438.0,0,,5.0,168.0,33.48
2606,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,caad2d7ff50c4ccebbfe61ccb6ef9998,5,72.0,0,,5.0,168.0,6.27
2646,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,d7fec020017649a7a13a924c04e8c07b,5,72.0,0,,5.0,168.0,6.18
2647,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,f79cdf82289a439d973bb9c2c6c83c93,5,390.0,0,,5.0,240.0,11.13
2651,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,a9ef494d007245e9b94c2ff661859c51,5,30.0,0,,5.0,168.0,5.51
2670,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,4de995d854f94b3492f743cc1e98ec29,5,210.0,0,,5.0,240.0,21.64
2690,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,44eae499188b4c5c849741ac698aed4b,5,12.0,0,,5.0,240.0,26.8
2744,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,f81cf50a115f4042b0fe3f09265a56d7,5,696.0,0,,5.0,240.0,7.27
2773,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,62811a87189d467b81a809a886742e85,2,30.0,0,,5.0,168.0,22.64
2781,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,09ccb706f86c4d1ca7a35d054caa9fb5,5,144.0,0,,5.0,168.0,6.62
2797,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,a104f5f8f470487693d626d36317dcf7,5,36.0,0,,5.0,168.0,9.43
2823,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,b743f13d0b9f4ae0b529bb65615f7e52,5,168.0,0,,5.0,240.0,24.3
2859,1,1,1,1,7,168,4,1,2298d6c36e964ae4a3e7e9706d1fb8c2,1,discount,0.0,d04e831525064891a554847efa349fd8,3,114.0,0,,5.0,168.0,3.64
2875,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,9f8dfe338ab347e88b50cbf615d799f4,2,126.0,0,,5.0,168.0,16.08
2882,1,1,0,1,10,168,8,1,2906b810c7d4411798c6938adc9daaa5,1,discount,0.0,919f3f6565a544d8a06eaef8e6a86d9d,2,96.0,0,,5.0,168.0,15.16
2923,1,1,0,1,5,168,5,1,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,bogo,0.0,2349cf9c53bb49e09b23e4684cdcd86a,5,648.0,0,,5.0,168.0,6.09
2938,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,04ca4f4a66934cec9d3bbd8833572cf7,5,96.0,0,,5.0,240.0,12.96
2946,1,0,0,1,20,240,15,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,discount,0.0,c55ef5e61c2b48a5a85f3163151eae9c,5,126.0,0,,5.0,240.0,23.42
